Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
432.7,208.8,60.94,3.88,204.92,57.06,0.555253,0.555253
433.2,209.82,60.08,3.56,206.26,56.52,0.562213,0.562213
433.8,211.9,60.7,3.66,208.24,57.04,0.562385,0.562385
434.3,214.04,60.76,3.7,210.34,57.06,0.56659,0.56659
434.8,215.88,60.7,3.76,212.12,56.94,0.571164,0.571164
435.4,217.68,60.34,3.54,214.14,56.8,0.576349,0.576349
435.9,220.24,60.56,3.7,216.54,56.86,0.580731,0.580731
436.4,222.7,60.28,3.64,219.06,56.64,0.58744,0.58744
436.9,224.22,60.58,3.7,220.52,56.88,0.588488,0.588488
437.5,226.66,60.1,3.42,223.24,56.68,0.595342,0.595342
438,229.68,60.32,3.58,226.1,56.74,0.600411,0.600411
438.5,232.46,60.4,3.5,228.96,56.9,0.604647,0.604647
439,234.96,60.66,3.6,231.36,57.06,0.607957,0.607957
439.6,238.1,59.94,3.34,234.76,56.6,0.617808,0.617808
440.1,242.26,60.32,3.46,238.8,56.86,0.623227,0.623227
440.6,245.76,60.74,3.38,242.38,57.36,0.625888,0.625888
441.2,248.38,60.68,3.46,244.92,57.22,0.631476,0.631476
441.7,252.14,60.14,3.38,248.76,56.76,0.641738,0.641738
442.2,256.34,60.52,3.48,252.86,57.04,0.646701,0.646701
442.7,259.96,60.56,3.32,256.64,57.24,0.651625,0.651625
443.3,263.3,60.66,3.46,259.84,57.2,0.65731,0.65731
443.8,267.04,60.38,3.24,263.8,57.14,0.664335,0.664335
444.3,271.1,60.78,3.44,267.66,57.34,0.669126,0.669126
444.8,274.58,60.7,3.36,271.22,57.34,0.674864,0.674864
445.4,277.86,60.76,3.44,274.42,57.32,0.68011,0.68011
445.9,281.24,60.82,3.34,277.9,57.48,0.684372,0.684372
446.4,285.5,60.92,3.48,282.02,57.44,0.691065,0.691065
447,288.72,61.1,3.46,285.26,57.64,0.694517,0.694517
447.5,290.9,61.06,3.46,287.44,57.6,0.698125,0.698125
448,293.88,60.78,3.26,290.62,57.52,0.703507,0.703507
448.5,296.74,61.24,3.5,293.24,57.74,0.705746,0.705746
449.1,298.86,61.52,3.46,295.4,58.06,0.706533,0.706533
449.6,300.56,61.34,3.52,297.04,57.82,0.710737,0.710737
450.1,302.86,60.98,3.34,299.52,57.64,0.715702,0.715702
450.6,305.54,61.26,3.48,302.06,57.78,0.718316,0.718316
451.2,307.5,61.62,3.5,304,58.12,0.718548,0.718548
451.7,308.86,61.52,3.6,305.26,57.92,0.721841,0.721841
452.2,310.1,61.4,3.52,306.58,57.88,0.724015,0.724015
452.8,311.6,61.56,3.7,307.9,57.86,0.726031,0.726031
453.3,312.82,61.84,3.58,309.24,58.26,0.724925,0.724925
453.8,313.78,61.82,3.68,310.1,58.14,0.727027,0.727027
454.3,314.52,61.56,3.38,311.14,58.18,0.728182,0.728182
454.9,315.94,61.86,3.64,312.3,58.22,0.7295,0.7295
455.4,316.68,62.24,3.58,313.1,58.66,0.727341,0.727341
455.9,316.64,62.06,3.66,312.98,58.4,0.729104,0.729104
456.4,316.78,61.62,3.46,313.32,58.16,0.731364,0.731364
457,318.02,62.1,3.58,314.44,58.52,0.730233,0.730233
457.5,318.82,61.96,3.52,315.3,58.44,0.732014,0.732014
458,318.54,62.06,3.64,314.9,58.42,0.731611,0.731611
458.5,318.54,61.64,3.34,315.2,58.3,0.732918,0.732918
459.1,319.4,61.98,3.5,315.9,58.48,0.732542,0.732542
459.6,319.92,62.06,3.36,316.56,58.7,0.731818,0.731818
460.1,320.28,62.26,3.48,316.8,58.78,0.731556,0.731556
460.7,320.76,61.98,3.44,317.32,58.54,0.734045,0.734045
461.2,321.58,62.1,3.58,318,58.52,0.735123,0.735123
461.7,322.06,62.22,3.48,318.58,58.74,0.734285,0.734285
